date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:21	158249/158249	---M-Z	200	added ('OK')	text/html	etag:%2264ade057-25804%22	https://zulu.longines.com/	C:/My%20Web%20Sites/reloj/zulu.longines.com/index.html	(from )
17:31:21	677/677	---M--	502	error ('Bad%20Gateway')	text/html	etag:%2264ade09f-2a5%22	https://zulu.longines.com/robots.txt		(from )
17:31:21	152126/152126	---M-Z	200	added ('OK')	image/x-icon	etag:%2264a6bb37-2523e%22	https://zulu.longines.com/favicon.ico	C:/My%20Web%20Sites/reloj/zulu.longines.com/favicon.ico	(from https://zulu.longines.com/)
17:31:21	211459/211459	---M--	200	added ('OK')	image/jpeg	etag:%226450e251-33a03%22	https://zulu.longines.com//share.jpg	C:/My%20Web%20Sites/reloj/zulu.longines.com/share.jpg	(from https://zulu.longines.com/)
17:31:22	8606/8606	---M-Z	200	added ('OK')	text/css	etag:W/%22219e-189727fbb4f%22	https://www.longines.com/_next/static/external/index.css	C:/My%20Web%20Sites/reloj/www.longines.com/_next/static/external/index.css	(from https://zulu.longines.com/)
17:31:23	121124/121124	---M-Z	200	added ('OK')	application/javascript	etag:%2264799c2e-1d924%22	https://www.longines.com/external/assets/index.js	C:/My%20Web%20Sites/reloj/www.longines.com/external/assets/index.js	(from https://zulu.longines.com/)
17:31:23	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2021%20Jul%202023%2022:31:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/reloj/www.googletagmanager.com/gtm.45445.delayed	(from https://zulu.longines.com/)
17:31:23	3856/3856	---M-Z	200	added ('OK')	application/javascript	etag:W/%226447c33a-f10%22	https://zulu.longines.com/_nuxt/15aed78.js	C:/My%20Web%20Sites/reloj/zulu.longines.com/_nuxt/15aed78.js	(from https://zulu.longines.com/)
17:31:24	200748/200748	---M-Z	200	added ('OK')	application/javascript	etag:W/%226447c33a-3102c%22	https://zulu.longines.com/_nuxt/758a6d7.js	C:/My%20Web%20Sites/reloj/zulu.longines.com/_nuxt/758a6d7.js	(from https://zulu.longines.com/)
17:31:24	394438/394438	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264ade04e-604c6%22	https://zulu.longines.com/_nuxt/3d0c48a.js	C:/My%20Web%20Sites/reloj/zulu.longines.com/_nuxt/3d0c48a.js	(from https://zulu.longines.com/)
